the_geom,year_date,cartodb_id,the_geom_webmercator,year,cf,company,geocode,municipality,uf,status,capacity,capacity_source,cnpj,lat,long,resolution
0101000020E6100000923B1169C0D449C0779BDC9497F735C0,2005-01-01,280,0101000020110F0000D6F59A4636F055C1406FFF3A9F2143C1,2005,CF038,SINA,3547700,SANTO ANASTACIO,SP,ATIVA,500,NA,06.348.804/0001-62,-21.9671567,-51.6621219,POINT
0101000020E6100000923B1169C0D449C0779BDC9497F735C0,2006-01-01,281,0101000020110F0000D6F59A4636F055C1406FFF3A9F2143C1,2006,CF038,SINA,3547700,SANTO ANASTACIO,SP,ATIVA,500,NA,06.348.804/0001-62,-21.9671567,-51.6621219,POINT
0101000020E6100000B936548CF31348C058CA32C4B1AE32C0,2010-01-01,1,0101000020110F0000EFB855BB0B7354C19F550F8EE52740C1,2010,CF001,SELECTA,3103504,ARAGUARI,MG,ATIVA,2000,NA,00.969.790/0005-41,-18.6824,-48.15587,POINT
0101000020E6100000B936548CF31348C058CA32C4B1AE32C0,2011-01-01,2,0101000020110F0000EFB855BB0B7354C19F550F8EE52740C1,2011,CF001,SELECTA,3103504,ARAGUARI,MG,ATIVA,2000,http://www.abiove.org.br/site/_FILES/Portugues/02102012-102007-ranking_cidades_esmagamento_de_oleaginosas.pdf,00.969.790/0005-41,-18.6824,-48.15587,POINT
0101000020E6100000B936548CF31348C058CA32C4B1AE32C0,2012-01-01,3,0101000020110F0000EFB855BB0B7354C19F550F8EE52740C1,2012,CF001,SELECTA,3103504,ARAGUARI,MG,ATIVA,2000,NA,00.969.790/0005-41,-18.6824,-48.15587,POINT
0101000020E6100000B936548CF31348C058CA32C4B1AE32C0,2013-01-01,4,0101000020110F0000EFB855BB0B7354C19F550F8EE52740C1,2013,CF001,SELECTA,3103504,ARAGUARI,MG,ATIVA,2200,ARY OLEOFAR,00.969.790/0005-41,-18.6824,-48.15587,POINT
0101000020E6100000B936548CF31348C058CA32C4B1AE32C0,2014-01-01,5,0101000020110F0000EFB855BB0B7354C19F550F8EE52740C1,2014,CF001,SELECTA,3103504,ARAGUARI,MG,ATIVA,2200,NA,00.969.790/0005-41,-18.6824,-48.15587,POINT
0101000020E6100000B936548CF31348C058CA32C4B1AE32C0,2015-01-01,6,0101000020110F0000EFB855BB0B7354C19F550F8EE52740C1,2015,CF001,SELECTA,3103504,ARAGUARI,MG,ATIVA,2200,NA,00.969.790/0005-41,-18.6824,-48.15587,POINT
0101000020E6100000B936548CF31348C058CA32C4B1AE32C0,2016-01-01,7,0101000020110F0000EFB855BB0B7354C19F550F8EE52740C1,2016,CF001,SELECTA,3103504,ARAGUARI,MG,ATIVA,2200,ARY OLEOFAR,00.969.790/0005-41,-18.6824,-48.15587,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2005-01-01,8,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2005,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2200,NA,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2006-01-01,9,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2006,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2200,NA,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2007-01-01,10,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2007,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2200,HINRICHSEN,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2008-01-01,11,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2008,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2200,NA,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2009-01-01,12,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2009,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2200,NA,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2010-01-01,13,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2010,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2500,HINRICHSEN,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2011-01-01,14,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2011,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2500,NA,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2012-01-01,15,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2012,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2500,HINRICHSEN,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2013-01-01,16,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2013,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2500,HINRICHSEN,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2014-01-01,17,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2014,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,2500,NA,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2015-01-01,18,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2015,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,3500,HINRICHSEN,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E610000046459C4EB2AF48C08227E3CE3B8E39C0,2016-01-01,19,0101000020110F0000F488D7FA51F754C144819CB4477646C1,2016,CF002,IMCOPA,4101804,ARAUCARIA,PR,ATIVA,3500,ARY OLEOFAR,78.571.411/0001-24,-25.5556001,-49.372629,POINT
0101000020E61000002A029CDEC53D48C03621AD31E8EE34C0,2005-01-01,20,0101000020110F00001F6D299D909654C1D3ED8F68173042C1,2005,CF003,GRANOL,3506102,BEBEDOURO,SP,ATIVA,1500,NA,50.290.329/0048-76,-20.9332305,-48.482601,POINT
0101000020E61000002A029CDEC53D48C03621AD31E8EE34C0,2006-01-01,21,0101000020110F00001F6D299D909654C1D3ED8F68173042C1,2006,CF003,GRANOL,3506102,BEBEDOURO,SP,ATIVA,1500,NA,50.290.329/0048-76,-20.9332305,-48.482601,POINT
0101000020E61000002A029CDEC53D48C03621AD31E8EE34C0,2007-01-01,22,0101000020110F00001F6D299D909654C1D3ED8F68173042C1,2007,CF003,GRANOL,3506102,BEBEDOURO,SP,ATIVA,1500,HINRICHSEN / ARY OLEOFAR,50.290.329/0048-76,-20.9332305,-48.482601,POINT
0101000020E61000002A029CDEC53D48C03621AD31E8EE34C0,2008-01-01,23,0101000020110F00001F6D299D909654C1D3ED8F68173042C1,2008,CF003,GRANOL,3506102,BEBEDOURO,SP,ATIVA,1500,NA,50.290.329/0048-76,-20.9332305,-48.482601,POINT
0101000020E61000002A029CDEC53D48C03621AD31E8EE34C0,2009-01-01,24,0101000020110F00001F6D299D909654C1D3ED8F68173042C1,2009,CF003,GRANOL,3506102,BEBEDOURO,SP,ATIVA,1500,NA,50.290.329/0048-76,-20.9332305,-48.482601,POINT
0101000020E61000002A029CDEC53D48C03621AD31E8EE34C0,2010-01-01,25,0101000020110F00001F6D299D909654C1D3ED8F68173042C1,2010,CF003,GRANOL,3506102,BEBEDOURO,SP,ATIVA,1500,HINRICHSEN / ARY OLEOFAR,50.290.329/0048-76,-20.9332305,-48.482601,POINT
