the_geom,cartodb_id,the_geom_webmercator,id,company,year,capacity,state,municipality,geocode,lat,long,resolution
0101000020E6100000AFCDC4D5FF204AC0B927C1C5B1A43BC0,127,0101000020110F000067521721F83056C1A5815E64F87148C1,RF127,OLFAR,2016,NA,RS,ERECHIM,4307005,-27.6433375927515,-52.2578074656443,MUNICIPALITY
0101000020E6100000DFBCE397BD574BC03A63FDFBC38D30C0,1,0101000020110F000063CD93C3E13857C112AA1BAB8E843CC1,RF001,ADM,2013,NA,MT,RONDONÓPOLIS,5107602,-16.5537717336294,-54.685473428917,MUNICIPALITY
0101000020E6100000B82ECD5B762A48C0A152C3071C0733C0,2,0101000020110F0000118FA7162A8654C16181E6E93E7740C1,RF002,ADM,2013,NA,MG,UBERLÂNDIA,3170206,-19.0277714588034,-48.3317370178096,MUNICIPALITY
0101000020E61000009215F4D0F51F4BC0B990F06EC5E934C0,3,0101000020110F00005A69DEF1810957C1EB8512F46B2B42C1,RF003,ADM,2013,NA,MS,CAMPO GRANDE,5002704,-20.9131688439672,-54.2496892158334,MUNICIPALITY
0101000020E61000007AD516C6ECCB49C001C541ACEA263BC0,4,0101000020110F00004D436B2AB7E855C172709CA6A6F947C1,RF004,ADM,2013,NA,SC,JOAÇABA,4209003,-27.1520183239527,-51.5931632625097,MUNICIPALITY
0101000020E6100000B82ECD5B762A48C0A152C3071C0733C0,5,0101000020110F0000118FA7162A8654C16181E6E93E7740C1,RF005,ALGAR AGRO,2013,NA,MG,UBERLÂNDIA,3170206,-19.0277714588034,-48.3317370178096,MUNICIPALITY
0101000020E61000008E1DCEE20F9747C095B59A6EB87919C0,6,0101000020110F0000C2A06330FA0854C1D3DB354F57AE25C1,RF006,ALGAR AGRO,2013,NA,MA,PORTO FRANCO,2109007,-6.36886761492987,-47.1801723009513,MUNICIPALITY
0101000020E6100000FAC54D87D37649C09827BF31634836C0,7,0101000020110F000019F136F370A055C1F4C24434B26B43C1,RF007,AGROVIGNA,2013,NA,SP,RANCHARIA,3542206,-22.2827635852514,-50.9283303384545,MUNICIPALITY
0101000020E6100000F654E652F2F347C0860BB2DEA7B234C0,8,0101000020110F0000F75F4939DD5754C180A461C458F941C1,RF008,BREJEIRO,2013,NA,SP,ORLÂNDIA,3534302,-20.6978739914589,-47.9058326363246,MUNICIPALITY
0101000020E610000035D114CF9E7C48C0BBA117ED634A30C0,9,0101000020110F000047FB84F4F0CB54C1957343093F0D3CC1,RF009,BREJEIRO,2013,NA,GO,ANÁPOLIS,5201108,-16.2905872519202,-48.9735964633605,MUNICIPALITY
0101000020E6100000C7FD2510414248C0321F831FCD8639C0,10,0101000020110F00004D35FCEC5E9A54C15864F6BB486F46C1,RF010,BRF,2013,NA,PR,PARANAGUÁ,4118204,-25.526567430031,-48.5176105676178,MUNICIPALITY
0101000020E61000003FFDBCC5AEFE46C0ADB5BA25276328C0,11,0101000020110F000024B393BC8F8753C1B55723E7CBDE34C1,RF011,BUNGE,2013,NA,BA,LUÍS EDUARDO MAGALHÃES,2919553,-12.1936580458085,-45.9897086308288,MUNICIPALITY
0101000020E610000027ED41C5428B41C0FD092079F8DF20C0,12,0101000020110F0000EB43C5C3DBCC4DC1F803A72792C42CC1,RF012,BUNGE,2013,NA,PE,IPOJUCA,2607208,-8.43744257465459,-35.0879751750857,MUNICIPALITY
0101000020E61000001A44B59EFFFE47C055CC4D1D547B30C0,13,0101000020110F0000CB6A5725406154C18D688965E4633CC1,RF013,BUNGE,2013,NA,GO,LUZIÂNIA,5212501,-16.4817522349297,-47.9921759018982,MUNICIPALITY
0101000020E6100000DFBCE397BD574BC03A63FDFBC38D30C0,14,0101000020110F000063CD93C3E13857C112AA1BAB8E843CC1,RF014,BUNGE,2013,NA,MT,RONDONÓPOLIS,5107602,-16.5537717336294,-54.685473428917,MUNICIPALITY
0101000020E61000005CFF85869F3F4BC022C75F694FDD3BC0,15,0101000020110F00006EF44F20662457C119F0E4154EA848C1,RF015,CAMERA,2013,NA,RS,SANTA ROSA,4317202,-27.8644929751237,-54.4970558313641,MUNICIPALITY
0101000020E610000055CB770487B548C027DEFEE57A5A32C0,16,0101000020110F0000A5493FBD45FC54C103238297EFB83FC1,RF016,CARAMURU,2013,NA,GO,ITUMBIARA,5211503,-18.3534377810703,-49.4181829056676,MUNICIPALITY
0101000020E6100000B82ECD5B762A48C0A152C3071C0733C0,17,0101000020110F0000118FA7162A8654C16181E6E93E7740C1,RF017,CARGILL,2013,NA,MG,UBERLÂNDIA,3170206,-19.0277714588034,-48.3317370178096,MUNICIPALITY
0101000020E6100000AED53A73FC8449C08D99164430BD31C0,18,0101000020110F00009B80DB9877AC55C1E670D481EF9F3EC1,RF018,CARGILL,2013,NA,GO,RIO VERDE,5218805,-17.7390177302528,-51.0389541661528,MUNICIPALITY
0101000020E6100000EBDFCFDE391C4BC0FA1A83E4DD312EC0,19,0101000020110F0000B0F3460F560657C16788E93E4BF239C1,RF019,CARGILL,2013,NA,MT,PRIMAVERA DO LESTE,5107040,-15.0973960313836,-54.2205160632146,MUNICIPALITY
0101000020E6100000527D7BA88FC246C0579E3904190528C0,20,0101000020110F00003677F50E805453C1B1F89E8A198D34C1,RF020,CARGILL,2013,NA,BA,BARREIRAS,2903201,-12.0099564857802,-45.5200090983368,MUNICIPALITY
0101000020E6100000231DA4BC151B4AC0BA32EC34447034C0,21,0101000020110F000089818934F22B56C1E69B9A8D1FBD41C1,RF021,CARGILL,2013,NA,MS,TRÊS LAGOAS,5008305,-20.4385407520919,-52.2116008569085,MUNICIPALITY
0101000020E61000006118A7B6066547C0A795941C5C8737C0,22,0101000020110F00000F2FD55A7BDE53C1FB24CE32CC9144C1,RF022,CLARION,2013,NA,SP,OSASCO,3534401,-23.5287492621188,-46.7892673793692,MUNICIPALITY
0101000020E61000008FE033D09B304AC0D2D6D1B96D1A38C0,23,0101000020110F000089BC33EA393E56C1F41E1682541A45C1,RF023,COAMO,2013,NA,PR,CAMPO MOURÃO,4104303,-24.1032367837241,-52.3797550442988,MUNICIPALITY
0101000020E61000006D23A202E1FB49C0DE7FFB80A46637C0,24,0101000020110F0000F2509160711156C1343D4583817344C1,RF024,COCAMAR,2013,NA,PR,MARINGÁ,4115200,-23.4009476293576,-51.9678042689983,MUNICIPALITY
0101000020E61000008C73C68DC3BB4AC076AD9B66117331C0,25,0101000020110F000065083B2B69B456C15015D508DB1B3EC1,RF025,LUIS DREYFUS COMMODITIES,2013,NA,MT,ALTO ARAGUAIA,5100300,-17.4494842653343,-53.4669053286553,MUNICIPALITY
0101000020E6100000AF66996F570A49C0FC212549C32339C0,26,0101000020110F00007BEA631A4E4455C183EDD49C381246C1,RF026,LUIS DREYFUS COMMODITIES,2013,NA,PR,PONTA GROSSA,4119905,-25.1396985736519,-50.080793332961,MUNICIPALITY
0101000020E61000002A8D5B6CB1DD49C0E8003407E6E831C0,27,0101000020110F0000078ECB55CEF755C1C4BB9FCDECED3EC1,RF027,LUIS DREYFUS COMMODITIES,2013,NA,GO,JATAÍ,5211909,-17.9097599508249,-51.7319770285633,MUNICIPALITY
0101000020E6100000AED53A73FC8449C08D99164430BD31C0,28,0101000020110F00009B80DB9877AC55C1E670D481EF9F3EC1,RF028,COMIGO,2013,NA,GO,RIO VERDE,5218805,-17.7390177302528,-51.0389541661528,MUNICIPALITY
0101000020E61000003CF1DA3BCF5E45C0B009A318FA6814C0,29,0101000020110F00002EE546385C2652C17F2FEAAE735B21C1,RF029,DUREINO,2013,NA,PI,TERESINA,2211001,-5.10251654143433,-42.7406992739729,MUNICIPALITY
0101000020E61000008B51D869134B4BC09DF36753042B3CC0,30,0101000020110F0000E12AFA2D202E57C11A5EC8D80FF348C1,RF030,GIOVELLI,2013,NA,RS,GUARANI DAS MISSÕES,4309506,-28.1680347565449,-54.5865299516909,MUNICIPALITY
0101000020E61000001E235C3D6E4449C0B89FE89C81F235C0,31,0101000020110F000043A2A2E1A37555C1F00A97FCF61C43C1,RF031,GRANOL,2013,NA,SP,TUPÃ,3555000,-21.9472902362756,-50.5346142482651,MUNICIPALITY
0101000020E610000035D114CF9E7C48C0BBA117ED634A30C0,32,0101000020110F000047FB84F4F0CB54C1957343093F0D3CC1,RF032,GRANOL,2013,NA,GO,ANÁPOLIS,5201108,-16.2905872519202,-48.9735964633605,MUNICIPALITY
0101000020E610000025B66F37604148C057949167C1F034C0,33,0101000020110F0000D484A7F69F9954C1670CADB7C53142C1,RF033,GRANOL,2013,NA,SP,BEBEDOURO,3506102,-20.9404511194628,-48.5107487960306,MUNICIPALITY
